ID   MID    MMSI      longitude   latitude  speed  course  waktu  f_str(dB)  Jarak(Km)
 1    1   525010154  112.726227    -7.207603       0   153.0  15_20_11    21.35    12.27
 2    1   525019035  112.724077    -7.186232       0   275.5  15_20_14    20.25    14.48
 3    1   525125041  112.727893    -7.207300       0   243.0  15_20_15    23.74    12.21
 4    4     5250001  112.733870   -7.197102 2025/6/15
 5    1   525300917  112.732505    -7.196318       0   235.4  15_20_15    17.24    13.06
 6    1   525005052  112.734110    -7.196060       0   340.3  15_20_16    23.64    13.01
 7    3   525201572  112.744038    -7.194093       0   275.2  15_20_18    28.87    12.81
 8    1   525001047  112.729742    -7.207533       0   148.1  15_20_18    22.57    12.09
 9    1   525100417  112.722152    -7.175623       0   360.0  15_20_18    21.49    15.63
 10    1   525010092  112.726058    -7.208515       0   193.2  15_20_22    23.10    12.20
 11    4     5250001  112.733870   -7.197102 2025/6/15
 12    1   525005052  112.734113    -7.196068       0   340.3  15_20_25    27.28    13.01
 13    1   525125041  112.727893    -7.207302       0   243.0  15_20_26    20.92    12.21
 14    3   525108005  112.729413    -7.208842       0   279.1  15_20_26    25.44    11.98
 15    3   525022203  112.720358    -7.178710       0   228.4  15_20_28    23.11    15.41
 16    1   525001047  112.729740    -7.207533       0   148.1  15_20_29    22.05    12.09
 17    1   525010092  112.726057    -7.208512       0   193.2  15_20_29    22.48    12.20
 18    1   525010154  112.726213    -7.207613       0   156.7  15_20_31    22.11    12.27
 19    1   525101102  112.717667    -7.177250       0   162.0  15_20_32    21.79    15.69
 20    1   525207014  112.729700    -7.207520       0   263.1  15_20_33    19.14    12.09
 21    4     5250001  112.733870   -7.197102 2025/6/15
 22    3   525025088  112.725360    -7.205765       0    48.5  15_20_36    19.86    12.50
 23    3   525125041  112.727893    -7.207302       0   243.0  15_20_36    25.04    12.21
 24    3   525005052  112.734100    -7.196087       0   340.3  15_20_36    23.58    13.01
 25    1   525001047  112.729760    -7.207537       0   148.1  15_20_39    22.41    12.09
 26    1   525300917  112.732503    -7.196318       0   235.4  15_20_40    19.44    13.06
 27    3   525019101  112.725318    -7.202775       0   153.5  15_20_42    20.36    12.79
 28    1   525010092  112.726053    -7.208510       0   193.2  15_20_42    23.43    12.20
 29    1   525101102  112.717667    -7.177250       0   162.0  15_20_43    21.45    15.69
 30    1   525125041  112.727920    -7.207303       0   243.0  15_20_45    23.20    12.21
 31    4     5250001  112.733870   -7.197102 2025/6/15
 32    1   525005052  112.734110    -7.196100       0   340.3  15_20_47    26.59    13.01
 33    1   525001047  112.729753    -7.207538       0   148.1  15_20_47    22.36    12.09
 34    1   525010092  112.726052    -7.208508       0   193.2  15_20_52    22.49    12.20
 35    1   525021186  112.727957    -7.199268       0   262.4  15_20_54    21.86    12.99
 36    4     5250001  112.733870   -7.197102 2025/6/15
 37    1   525005052  112.734115    -7.196095       0   340.3  15_20_56    24.40    13.01
 38    1   525125041  112.727920    -7.207303       0   243.0  15_20_56    24.65    12.21
 39    1   525022001  112.701620    -7.186233       0   281.5  15_21_0    20.54    15.74
 40    4     5250001  112.733870   -7.197102 2025/6/15
 41    1   525005052  112.734108    -7.196083       0   340.3  15_21_7    27.31    13.01
 42    1   525005052  112.734093    -7.196072       0   340.3  15_21_16    23.31    13.01
 43    1   525022001  112.701603    -7.186230       0   295.8  15_21_20    21.59    15.74
 44    1   525207014  112.729707    -7.207515       0   263.1  15_21_24    20.62    12.09
 45    4     5250001  112.733870   -7.197102 2025/6/15
 46    1   525005052  112.734088    -7.196067       0   340.3  15_21_25    27.46    13.01
 47    1   525125041  112.727920    -7.207303       0   243.0  15_21_25    27.55    12.21
 48    1   525000011  112.732255    -7.196883       0   248.7  15_21_28    18.58    13.02
 49    1   525010092  112.726057    -7.208503       0   193.2  15_21_30    23.78    12.20
 50    4     5250001  112.733870   -7.197102 2025/6/15
 51    1   525125041  112.727920    -7.207305       0   243.0  15_21_35    26.56    12.21
 52    1   525005052  112.734085    -7.196055       0   340.3  15_21_37    24.55    13.02
 53    1   525100417  112.722148    -7.175625       0   360.0  15_21_39    21.28    15.63
 54    1   525010154  112.726223    -7.207625       0   157.5  15_21_39    17.03    12.27
 55    1   525022001  112.701592    -7.186215       0   310.5  15_21_41    21.28    15.74
 56    1   525010092  112.726060    -7.208507       0   193.2  15_21_42    25.30    12.20
 57    1   525125041  112.727920    -7.207305       0   243.0  15_21_45    24.82    12.21
 58    4     5250001  112.733870   -7.197102 2025/6/15
 59    1   525005052  112.734077    -7.196057       0   340.3  15_21_47    27.46    13.02
 60    1   525022001  112.701592    -7.186218       0   316.7  15_21_49    19.28    15.74
 61    1   525010092  112.726058    -7.208513       0   193.2  15_21_52    22.97    12.20
 62    1   525019035  112.724072    -7.186203       0   275.5  15_21_54    20.95    14.48
 63    1   525125041  112.727920    -7.207305       0   243.0  15_21_55    28.27    12.21
 64    4     5250001  112.733870   -7.197102 2025/6/15
 65    1   525300917  112.732492    -7.196327       0   235.4  15_21_58    20.98    13.06
 66    1   525000011  112.732238    -7.196877       0   248.7  15_21_59    18.52    13.02
 67    1   525022001  112.701593    -7.186222       0   323.4  15_21_59    20.71    15.74
 68    1   525010092  112.726060    -7.208518       0   193.2  15_22_1    24.43    12.19
 69    1   525300917  112.732492    -7.196327       0   235.4  15_22_3    21.56    13.06
 70    1   525125041  112.727920    -7.207307       0   243.0  15_22_5    22.35    12.21
 71    4     5250001  112.733870   -7.197102 2025/6/15
 72    1   525005052  112.734088    -7.196067       0   340.3  15_22_7    26.13    13.01
 73    1   525000011  112.732250    -7.196860       0   248.7  15_22_8    20.32    13.02
 74    1   525022001  112.701597    -7.186223       0   329.8  15_22_10    20.61    15.74
 75    1   525000011  112.732253    -7.196857       0   248.7  15_22_10    20.54    13.02
 76    1   525021186  112.727953    -7.199265       0   296.2  15_22_13    22.39    12.99
 77    1   525019035  112.724080    -7.186187       0   275.5  15_22_13    21.80    14.48
 78    1   525125041  112.727920    -7.207308       0   243.0  15_22_15    20.48    12.21
 79    4     5250001  112.733870   -7.197102 2025/6/15
 80    1   525005052  112.734083    -7.196078       0   340.3  15_22_16    22.96    13.01
 81    4     5250001  112.733870   -7.197102 2025/6/15
 82    3   525300917  112.732445    -7.196338       0   232.1  15_22_24    23.71    13.06
 83    1   525125041  112.727920    -7.207308       0   243.0  15_22_26    23.30    12.21
 84    1   525005052  112.734077    -7.196073       0   340.3  15_22_26    27.43    13.01
 85    3   525401189  112.721102    -7.207270       0    53.1  15_22_29    16.86    12.60
 86    1   525022001  112.701598    -7.186220       0   338.0  15_22_29    20.08    15.74
 87    1   525010092  112.726065    -7.208520       0   193.2  15_22_30    24.46    12.19
 88    1   525003239  112.723485    -7.204583       0   248.3  15_22_31    21.51    12.72
 89    1   525010154  112.726198    -7.207628       0   159.4  15_22_31    22.29    12.27
 90    1   525019035  112.724087    -7.186170       0   275.5  15_22_33    19.93    14.48
 91    3   525022005  112.720118    -7.175163       0     0.0  15_22_33    26.67    15.77
 92    1   525021186  112.727952    -7.199260       0   297.9  15_22_34    25.56    12.99
 93    4     5250001  112.733870   -7.197102 2025/6/15
 94    1   525125041  112.727920    -7.207307       0   243.0  15_22_36    26.27    12.21
 95    1   525005052  112.734080    -7.196068       0   340.3  15_22_37    23.93    13.02
 96    3   525125041  112.727915    -7.207307       0   243.0  15_22_37    28.71    12.21
 97    3   525000277  112.729752    -7.208077       0   239.2  15_22_39    22.39    12.03
 98    1   525300917  112.732492    -7.196330       0   235.4  15_22_40    19.81    13.06
 99    1   525022001  112.701593    -7.186218       0   341.4  15_22_41    20.61    15.74
 100    1   525010092  112.726065    -7.208517       0   193.2  15_22_41    23.70    12.19
 101    1   525021186  112.727950    -7.199260       0   292.2  15_22_44    22.74    12.99
 102    1   525125041  112.727920    -7.207307       0   243.0  15_22_45    25.59    12.21
 103    4     5250001  112.733870   -7.197102 2025/6/15
 104    1   525005052  112.734080    -7.196062       0   340.3  15_22_47    27.20    13.02
 105    1   525001047  112.729748    -7.207485       0   148.1  15_22_47    21.75    12.09
 106    1   525022001  112.701593    -7.186215       0   343.5  15_22_50    19.97    15.74
 107    1   525010092  112.726062    -7.208515       0   193.2  15_22_51    21.82    12.20
 108    1   525300917  112.732492    -7.196330       0   235.4  15_22_51    22.66    13.06
 109    1   525125041  112.727920    -7.207305       0   243.0  15_22_55    24.27    12.21
 110    4     5250001  112.733870   -7.197102 2025/6/15
 111    1   525005052  112.734082    -7.196062       0   340.3  15_22_55    25.03    13.02
 112    1   525000011  112.732242    -7.196853       0   248.7  15_22_55    18.26    13.02
 113    1   525022001  112.701595    -7.186215       0     0.0  15_23_0    20.89    15.74
 114    1   525010154  112.726232    -7.207628       0     0.0  15_23_1    19.47    12.27
 115    1   525010092  112.726062    -7.208517       0   193.2  15_23_1    23.58    12.20
 116    1   525101102  112.717650    -7.177233       0   162.0  15_23_2    19.60    15.69
 117    1   525125041  112.727920    -7.207303       0   243.0  15_23_5    22.57    12.21
 118    4     5250001  112.733870   -7.197102 2025/6/15
